trip_id,trajet,duree
OCESN003100F140147152,Gare de Le Havre - Gare de Paris-St-Lazare,138
OCESN003190F040047309,Gare de Dieppe - Gare de Paris-St-Lazare,145
OCESN003198F030037315,Gare de Paris-St-Lazare - Gare de Rouen-Rive-Droite,97
OCESN003300F030037323,Gare de Cherbourg - Gare de Paris-St-Lazare,194
OCESN003313F380387526,Gare de Caen - Gare de Paris-St-Lazare,149
OCESN003371F080087908,Gare de Paris-St-Lazare - Gare de Trouville-Deauville,147
OCESN003410F120128075,Gare de Granville - Gare de Paris-Montp.3-Vaug.,201
OCESN003460F010018083,Gare de Granville - Gare de Paris-Montparnasse 1-2,195
OCESN003463F030038093,Gare de Dreux - Gare de Granville,142
OCESN003903F030038704,Gare de Bourges - Gare de Paris-Austerlitz,122
OCESN003903F040048703,Gare de Paris-Austerlitz - Gare de Vierzon,101
OCESN003917F090098744,Gare de Bourges - Gare de Paris-Bercy,131
OCESN003917F130138743,Gare de Nevers - Gare de Paris-Austerlitz,177
OCESN003933F010018761,Gare de Bourges - Gare de Nevers,38
OCESN005900F0500510094,Gare de Nevers - Gare de Paris-Bercy,154
OCESN005905F4304310108,Gare de Nevers - Gare de Paris-Gare-de-Lyon,146
OCESN013272F09009-1367954595,Gare de Argentan - Gare de Paris-Montp.3-Vaug.,121
OCESN014030F0900915588,Gare de Orléans - Gare de Paris-Austerlitz,75
OCESN014033F0700715600,Gare de Paris-Austerlitz - Gare de Tours,131
OCESN014033F0900915597,Gare de Orléans - Gare de Tours,72
OCESN014035F0800815607,Gare de Aubrais-(les) - Gare de Paris-Austerlitz,71
OCESN014041F1201215628,Gare de Paris-Bercy - Gare de Tours,146
OCESN014043F1801815630,Gare de Orléans - Gare de Paris-Bercy,84
OCESN014081F2102115781,Gare de Paris-Austerlitz - Gare de St-Pierre-des-Corps,118
OCESN016350F0100115870,Gare de Calais Ville - Gare de Paris Gare du Nord,183
OCESN016372F0100115902,Gare de Boulogne Ville - Gare de Paris Gare du Nord,145
OCESN016380F0100115910,Gare de Amiens - Gare de Calais Ville,107
OCESN016380F0300315908,Gare de Boulogne Ville - Gare de Calais Ville,28
OCESN016442F0100115983,Gare de Amiens - Gare de Boulogne Ville,75
OCESN016444F0500515989,Gare de Amiens - Gare de Paris Gare du Nord,74
OCESN016450F0100115993,Gare de Cambrai Ville - Gare de Paris Gare du Nord,155
OCESN016451F0100115996,Gare de Maubeuge - Gare de Paris Gare du Nord,119
OCESN016453F0400416001,Gare de Paris Gare du Nord - Gare de St Quentin,100
OCESN016468F0200216048,Gare de Compiègne - Gare de Maubeuge,80
OCESN016514F0900916097,Gare de Argentan - Gare de Dreux,69
OCESN016550F0200216123,Gare de Caen - Gare de Le Mans,111
OCESN016550F0400416121,Gare de Caen - Gare de Tours,182
OCESN016750F0900916155,Gare de Le Mans - Gare de Paris-Montparnasse 1-2,135
OCESN016765F1401416187,Gare de Nogent-le-Rotrou - Gare de Paris-Montparnasse 1-2,102
OCESN016766F1801816197,Gare de Chartres - Gare de Paris-Montparnasse 1-2,70
OCESN016782F1501516255,Gare de Chartres - Gare de Le Mans,70
OCESN016812F1601616283,Gare de Blois-Chambord - Gare de Tours,38
OCESN016840F1201216363,Gare de Lyon-Perrache - Gare de Tours,366
OCESN016840F1601616364,Gare de Lyon-Perrache - Gare de Nevers,211
OCESN017301F0200216375,Gare de Latour-de-Carol-Enveitg - Gare de Villefranche-Vernet-l.B,174
OCESN017303F0200216376,Gare de Font-Romeu-Odeillo-Via - Gare de Villefranche-Vernet-l.B,88
OCESN017350F0300316385,Gare de Briançon - Gare de Romans-Bourg-de-Péage,241
OCESN017352F0800816391,Gare de Briançon - Gare de Veynes-Dévoluy,97
OCESN017354F0200216399,Gare de Romans-Bourg-de-Péage - Gare de Veynes-Dévoluy,153
OCESN016550F0400416121,Gare de Rouen-Rive-Droite - Gare de Romans-Bourg-de-Péage,192
OCESN016550F0400416121,Gare de Romans-Bourg-de-Péage - Gare de Caen,192
OCESN016550F0400416121,Gare de Romans-Bourg-de-Péage - Gare de Caen,192
OCESN016550F0400416121,Gare de Marseille  - Gare de Lyon,192
OCESN003198F030037315,Gare de Paris-St-Lazare - Gare de Marseille,97
OCESN003903F040048703,Gare de Paris-Austerlitz - Gare de Vierzon,101
OCESN014033F0900915597,Gare de Tours - Gare de Orléans,72
OCESN016550F0400416121,Gare de Caen - Gare de Rouen-Rive-Droite,192
OCESN016550F0400416121,Gare de Paris-Austerlitz - Gare de Bourges,192
